"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
320	+1.267574519e+00	+0.000000000e+00	+2.112182694e-01	0.641254309
321	+1.267655811e+00	+0.000000000e+00	+2.120282817e-01	0.643257916
322	+1.267735998e+00	+0.000000000e+00	+2.128353261e-01	0.645261523
323	+1.267815065e+00	+0.000000000e+00	+2.136393680e-01	0.647265130
324	+1.267892995e+00	+0.000000000e+00	+2.144403725e-01	0.649268737
325	+1.267969775e+00	+0.000000000e+00	+2.152383048e-01	0.651272345
326	+1.268045388e+00	+0.000000000e+00	+2.160331301e-01	0.653275952
327	+1.268119819e+00	+0.000000000e+00	+2.168248138e-01	0.655279559
328	+1.268193052e+00	+0.000000000e+00	+2.176133211e-01	0.657283166
329	+1.268265072e+00	+0.000000000e+00	+2.183986171e-01	0.659286774
330	+1.268335864e+00	+0.000000000e+00	+2.191806671e-01	0.661290381
331	+1.268405412e+00	+0.000000000e+00	+2.199594363e-01	0.663293988
332	+1.268473700e+00	+0.000000000e+00	+2.207348900e-01	0.665297595
333	+1.268540714e+00	+0.000000000e+00	+2.215069934e-01	0.667301202
334	+1.268606437e+00	+0.000000000e+00	+2.222757117e-01	0.669304810
335	+1.268670855e+00	+0.000000000e+00	+2.230410102e-01	0.671308417
336	+1.268733951e+00	+0.000000000e+00	+2.238028541e-01	0.673312024
337	+1.268795711e+00	+0.000000000e+00	+2.245612086e-01	0.675315631
338	+1.268856118e+00	+0.000000000e+00	+2.253160390e-01	0.677319238
339	+1.268915159e+00	+0.000000000e+00	+2.260673105e-01	0.679322846
340	+1.268972816e+00	+0.000000000e+00	+2.268149882e-01	0.681326453
341	+1.269029074e+00	+0.000000000e+00	+2.275590376e-01	0.683330060
342	+1.269083919e+00	+0.000000000e+00	+2.282994237e-01	0.685333667
343	+1.269137334e+00	+0.000000000e+00	+2.290361118e-01	0.687337275
344	+1.269189305e+00	+0.000000000e+00	+2.297690672e-01	0.689340882
345	+1.269239815e+00	+0.000000000e+00	+2.304982551e-01	0.691344489
346	+1.269288850e+00	+0.000000000e+00	+2.312236406e-01	0.693348096
347	+1.269336393e+00	+0.000000000e+00	+2.319451892e-01	0.695351703
348	+1.269382430e+00	+0.000000000e+00	+2.326628659e-01	0.697355311
349	+1.269426945e+00	+0.000000000e+00	+2.333766360e-01	0.699358918
350	+1.269469922e+00	+0.000000000e+00	+2.340864647e-01	0.701362525
351	+1.269511346e+00	+0.000000000e+00	+2.347923173e-01	0.703366132
352	+1.269551202e+00	+0.000000000e+00	+2.354941590e-01	0.705369739
353	+1.269589474e+00	+0.000000000e+00	+2.361919551e-01	0.707373347
354	+1.269626146e+00	+0.000000000e+00	+2.368856707e-01	0.709376954
355	+1.269661204e+00	+0.000000000e+00	+2.375752711e-01	0.711380561
356	+1.269694632e+00	+0.000000000e+00	+2.382607215e-01	0.713384168
357	+1.269726413e+00	+0.000000000e+00	+2.389419872e-01	0.715387776
358	+1.269756534e+00	+0.000000000e+00	+2.396190334e-01	0.717391383
359	+1.269784978e+00	+0.000000000e+00	+2.402918254e-01	0.719394990
360	+1.269811730e+00	+0.000000000e+00	+2.409603282e-01	0.721398597
361	+1.269836775e+00	+0.000000000e+00	+2.416245073e-01	0.723402204
362	+1.269860096e+00	+0.000000000e+00	+2.422843278e-01	0.725405812
363	+1.269881679e+00	+0.000000000e+00	+2.429397549e-01	0.727409419
364	+1.269901509e+00	+0.000000000e+00	+2.435907540e-01	0.729413026
